pm10,pm2_5,so2,co,o3,no2,kualitas
0.4305555555555556,0.26399999999999996,0.7600000000000002,0.3541666666666667,0.04819277108433735,0.3913043478260869,0.0
0.23611111111111116,0.192,0.8000000000000003,0.2916666666666667,0.012048192771084348,0.3913043478260869,0.0
0.7222222222222221,0.712,0.32000000000000006,0.37499999999999994,0.3373493975903615,0.4347826086956521,1.0
0.5972222222222222,0.56,0.40000000000000013,0.1875,0.27710843373493976,0.3695652173913043,1.0
0.45833333333333326,0.304,0.48,0.08333333333333334,0.2710843373493976,0.15217391304347824,0.0
0.7638888888888888,0.688,0.43999999999999995,0.20833333333333331,0.6686746987951807,0.4130434782608695,1.0
0.8055555555555556,0.776,0.40000000000000013,0.22916666666666669,0.5481927710843374,0.5,1.0
0.625,0.552,0.52,0.10416666666666669,0.45783132530120485,0.28260869565217395,1.0
0.8611111111111112,0.8639999999999999,0.56,0.37499999999999994,0.355421686746988,0.6739130434782609,1.0
0.5,0.35200000000000004,0.52,0.16666666666666669,0.24698795180722893,0.5,0.0
0.48611111111111105,0.336,0.48,0.1875,0.24096385542168675,0.5,0.0
0.5694444444444444,0.36000000000000004,0.48,0.20833333333333331,0.24698795180722893,0.5217391304347826,0.0
0.7916666666666667,0.72,0.52,0.37499999999999994,0.25301204819277107,0.6739130434782609,1.0
0.7361111111111112,0.6320000000000001,0.6400000000000001,0.25,0.22891566265060243,0.5434782608695652,1.0
0.5694444444444444,0.464,0.52,0.10416666666666669,0.3072289156626506,0.28260869565217395,0.0
0.6666666666666666,0.6320000000000001,0.52,0.16666666666666669,0.4036144578313253,0.30434782608695654,1.0
0.7361111111111112,0.6080000000000001,0.48,0.20833333333333331,0.39759036144578314,0.4565217391304347,1.0
0.4722222222222222,0.304,0.48,0.125,0.3855421686746988,0.34782608695652173,0.0
0.5,0.48800000000000004,0.48,0.125,0.30120481927710846,0.23913043478260868,1.0
0.7361111111111112,0.6160000000000001,0.52,0.14583333333333331,0.3253012048192771,0.26086956521739124,1.0
0.6527777777777778,0.52,0.48,0.14583333333333331,0.3072289156626506,0.4347826086956521,1.0
0.5694444444444444,0.39199999999999996,0.48,0.37499999999999994,0.4156626506024097,0.4782608695652174,0.0
0.4444444444444444,0.304,0.43999999999999995,0.20833333333333331,0.5602409638554217,0.4130434782608695,1.0
0.5277777777777778,0.39199999999999996,0.56,0.16666666666666669,1.0,0.5869565217391304,1.0
0.5694444444444444,0.35200000000000004,0.52,0.20833333333333331,0.2891566265060241,0.4782608695652174,0.0
0.625,0.424,0.52,0.14583333333333331,0.39156626506024095,0.30434782608695654,0.0
0.48611111111111105,0.296,0.43999999999999995,0.2916666666666667,0.3674698795180723,0.6521739130434782,0.0
0.5833333333333333,0.432,0.48,0.20833333333333331,0.49397590361445787,0.4130434782608695,0.0
0.7083333333333333,0.536,0.6000000000000001,0.25,0.39156626506024095,0.4565217391304347,1.0
0.6944444444444444,0.6080000000000001,0.48,0.25,0.4036144578313253,0.5,1.0
0.5277777777777778,0.38399999999999995,0.52,0.14583333333333331,0.5301204819277109,0.32608695652173914,1.0
