,pm10,pm2_5,so2,co,o3,no2,kualitas
count,365.0,365.0,365.0,365.0,365.0,365.0,365.0
mean,0.5113774733637747,0.4235178082191781,0.437041095890411,0.238013698630137,0.2544809374484238,0.4946396664681358,0.37534246575342467
std,0.1851407582705407,0.19537090067445484,0.18278676389099102,0.14786804198309747,0.14063582426220358,0.18863775963539645,0.48487588247508284
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.4027777777777778,0.27999999999999997,0.28,0.14583333333333331,0.14457831325301207,0.3695652173913043,0.0
50%,0.5138888888888888,0.416,0.48,0.20833333333333331,0.23493975903614456,0.4782608695652174,0.0
75%,0.625,0.5680000000000001,0.56,0.2916666666666667,0.3373493975903615,0.608695652173913,1.0
max,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
